OBJID,RA,DEC,NH,ENERGY_SLOPE,ENERGY_SLOPE_ERROR,EXPOSURE_TIME,NUFNU_3000EV,NUFNU_ERROR_3000EV,NUFNU_500EV,NUFNU_ERROR_500EV,UPPER_LIMIT_500EV,NUFNU_1500EV,NUFNU_ERROR_1500EV,UPPER_LIMIT_1500EV,NUFNU_4500EV,NUFNU_ERROR_4500EV,UPPER_LIMIT_4500EV,COUNTRATES_300_10000EV,COUNTRATES_ERROR_300_10000EV,COUNTRATES_300_1000EV,COUNTRATES_ERROR_300_1000EV,UPPER_LIMIT_300_1000EV,COUNTRATES_1000_2000EV,COUNTRATES_ERROR_1000_2000EV,UPPER_LIMIT_1000_2000EV,COUNTRATES_2000_10000EV,COUNTRATES_ERROR_2000_10000EV,UPPER_LIMIT_2000_10000EV,RUNID
2027,39.5767,-1.48301,3.06e+20,1.291,+0.20/-0.16,149689,1.24728e-14,1.12602e-15,1.74789e-14,2.36002e-15,-999,1.91759e-14,2.8012e-15,-999,1.09292e-14,2.45988e-15,-999,0.00144,0.00013,0.0006419,8.667e-05,-999,0.0005636,8.233e-05,-999,0.0002349,5.287e-05,-999,278_39_-1
2028,39.6806,-1.16412,3.09e+20,0.8,-999/-999,144419,4.18631e-15,1.0431e-15,1.18858e-15,7.53961e-16,-999,3.38409e-15,1.48659e-15,-999,8.53855e-15,2.91734e-15,-999,0.000301,7.5e-05,4.753e-05,3.015e-05,-999,9.504e-05,4.175e-05,-999,0.0001584,5.412e-05,-999,278_39_-1
2029,39.5683,-1.48313,3.06e+20,0.8,-999/-999,148140,4.00118e-15,9.7251e-16,3.59266e-15,1.22899e-15,-999,2.92832e-15,1.32267e-15,-999,3.32635e-15,1.77017e-15,-999,0.000288,7e-05,0.000144,4.926e-05,-999,8.227e-05,3.716e-05,-999,6.171e-05,3.284e-05,-999,278_39_-1
2235,39.3717,-1.31794,3.05e+20,0.8,-999/-999,143572,2.43057e-15,8.3334e-16,2.18063e-15,1.05479e-15,-999,5.18902e-16,6.02183e-16,-999,3.93107e-15,2.07307e-15,-999,0.000175,6e-05,8.747e-05,4.231e-05,-999,1.458e-05,1.692e-05,-999,7.293e-05,3.846e-05,-999,287_39_-1
2031,39.5457,-1.49066,3.06e+20,0.8,-999/-999,153195,7.18268e-15,1.1948e-15,4.43344e-15,1.26941e-15,-999,4.59874e-15,1.53054e-15,-999,1.13196e-14,2.97437e-15,-999,0.000517,8.6e-05,0.0001777,5.088e-05,-999,0.0001292,4.3e-05,-999,0.00021,5.518e-05,-999,278_39_-1
2238,39.3704,-1.25395,3.05e+20,0.8,-999/-999,136429,6.51394e-15,1.23612e-15,9.74264e-16,6.28735e-16,-999,6.95429e-15,2.00621e-15,-999,1.264e-14,3.31821e-15,-999,0.000469,8.9e-05,3.908e-05,2.522e-05,-999,0.0001954,5.637e-05,-999,0.0002345,6.156e-05,-999,287_39_-1
2033,39.3744,-1.35119,3.05e+20,0.8,-999/-999,140701,2.50002e-15,8.3334e-16,2.5628e-15,1.13481e-15,-999,4.57687e-16,5.64457e-16,-999,3.46644e-15,1.93293e-15,-999,0.00018,6e-05,0.0001028,4.552e-05,-999,1.286e-05,1.586e-05,-999,6.431e-05,3.586e-05,-999,278_39_-1
2240,39.3794,-1.22509,3.05e+20,0.8,-999/-999,131489,5.70838e-15,1.18057e-15,5.12312e-15,1.5135e-15,-999,5.48442e-15,1.8521e-15,-999,2.76948e-15,1.63646e-15,-999,0.000411,8.5e-05,0.0002055,6.071e-05,-999,0.0001541,5.204e-05,-999,5.138e-05,3.036e-05,-999,287_39_-1
2035,39.6466,-1.4744,3.07e+20,0.711,+0.18/-0.15,150700,2.26875e-14,2.2389e-15,9.63655e-15,1.81776e-15,-999,2.39662e-14,3.5856e-15,-999,2.53065e-14,4.45939e-15,-999,0.00152,0.00015,0.0003932,7.417e-05,-999,0.0006684,0.0001,-999,0.0004587,8.083e-05,-999,278_39_-1
2241,39.4064,-1.17838,3.06e+20,0.8,-999/-999,113271,4.40408e-15,1.16701e-15,5.65095e-16,5.868e-16,-999,4.02924e-15,1.88363e-15,-999,9.76722e-15,3.577e-15,-999,0.000317,8.4e-05,2.265e-05,2.352e-05,-999,0.0001132,5.292e-05,-999,0.0001812,6.636e-05,-999,287_39_-1
