OBJID,RA,DEC,NH,ENERGY_SLOPE,ENERGY_SLOPE_ERROR,EXPOSURE_TIME,NUFNU_3000EV,NUFNU_ERROR_3000EV,NUFNU_500EV,NUFNU_ERROR_500EV,UPPER_LIMIT_500EV,NUFNU_1500EV,NUFNU_ERROR_1500EV,UPPER_LIMIT_1500EV,NUFNU_4500EV,NUFNU_ERROR_4500EV,UPPER_LIMIT_4500EV,COUNTRATES_300_10000EV,COUNTRATES_ERROR_300_10000EV,COUNTRATES_300_1000EV,COUNTRATES_ERROR_300_1000EV,UPPER_LIMIT_300_1000EV,COUNTRATES_1000_2000EV,COUNTRATES_ERROR_1000_2000EV,UPPER_LIMIT_1000_2000EV,COUNTRATES_2000_10000EV,COUNTRATES_ERROR_2000_10000EV,UPPER_LIMIT_2000_10000EV,RUNID
1,14.102,-1.27731,3.54e+20,0.8,-999/-999,4572.8,7.69431e-14,2.1177e-14,2.16995e-14,1.55274e-14,-999,1.05067e-13,4.02727e-14,-999,9.04641e-14,4.60196e-14,-999,0.00545,0.0015,0.0008385,0.0006,-999,0.002935,0.001125,-999,0.001677,0.0008531,-999,0_14_-1
2,14.0797,-1.2495,3.52e+20,0.8,-999/-999,4684.2,6.20796e-14,1.97526e-14,1.26332e-14,1.25221e-14,-999,7.00033e-14,3.43038e-14,-999,1.05511e-13,5.17034e-14,-999,0.0044,0.0014,0.0004889,0.0004846,-999,0.001956,0.0009585,-999,0.001956,0.0009585,-999,0_14_-1
3,14.0958,-1.22764,3.51e+20,0.8,-999/-999,4649.6,5.40183e-14,1.97456e-14,2.19754e-14,1.75189e-14,-999,4.56974e-14,3.00594e-14,-999,9.18615e-14,5.22796e-14,-999,0.00383,0.0014,0.0008511,0.0006785,-999,0.001277,0.00084,-999,0.001703,0.0009692,-999,0_14_-1
4,14.0684,-1.23484,3.51e+20,0.8,-999/-999,4642,8.01107e-14,2.25664e-14,1.12808e-14,1.18772e-14,-999,9.37925e-14,3.93635e-14,-999,1.41379e-13,5.93351e-14,-999,0.00568,0.0016,0.0004369,0.00046,-999,0.002621,0.0011,-999,0.002621,0.0011,-999,0_14_-1
5,14.0705,-1.22122,3.5e+20,0.8,-999/-999,4587.3,7.1346e-14,2.115e-14,5.44143e-14,2.41884e-14,-999,4.5263e-14,2.64994e-14,-999,9.09428e-14,4.60162e-14,-999,0.00506,0.0015,0.002109,0.0009375,-999,0.001265,0.0007406,-999,0.001686,0.0008531,-999,0_14_-1
6,14.0557,-1.2487,3.51e+20,0.8,-999/-999,4462.9,5.76854e-14,1.97456e-14,5.28019e-14,2.58716e-14,-999,5.48584e-14,3.12153e-14,-999,2.75746e-14,2.73049e-14,-999,0.00409,0.0014,0.002045,0.001002,-999,0.001533,0.0008723,-999,0.0005112,0.0005062,-999,0_14_-1
7,14.1078,-1.35617,3.57e+20,0.8,-999/-999,4736.2,4.40918e-14,1.69584e-14,4.04633e-14,2.28254e-14,-999,4.18989e-14,-4.29374e-11,1.23047e-13,8.41558e-14,4.74725e-14,-999,0.00312,0.0012,0.00156,0.00088,-999,0.00117,-1.199,0.003436,0.00156,0.00088,-999,0_14_-1
8,14.0127,-1.23938,3.5e+20,0.8,-999/-999,4647.6,4.8927e-14,1.833e-14,2.55791e-14,1.82387e-14,-999,8.87011e-14,4.07188e-14,-999,9.35859e-14,-7.00681e-11,1.76815e-13,0.00347,0.0013,0.0009914,0.0007069,-999,0.002479,0.001138,-999,0.001735,-1.299,0.003278,0_14_-1
9,-49.1757,-0.723092,5.31e+20,0.791,+0.04/-0.04,44772.7,7.97509e-13,1.80228e-14,3.8414e-13,1.70909e-14,-999,8.83869e-13,2.87038e-14,-999,8.60535e-13,3.45353e-14,-999,0.0531,0.0012,0.01307,0.0005815,-999,0.02416,0.0007846,-999,0.01587,0.0006369,-999,101_310_0
10,-49.1873,-0.677192,5.3e+20,0.599,+0.14/-0.12,45446.9,8.33061e-14,6.71268e-15,3.07226e-14,5.1139e-15,-999,7.5467e-14,9.23942e-15,-999,9.7311e-14,1.32195e-14,-999,0.00484,0.00039,0.001097,0.0001826,-999,0.002033,0.0002489,-999,0.00171,0.0002323,-999,101_310_0
11,-49.2215,-0.707921,5.31e+20,0.8,-999/-999,40150.7,7.60716e-15,2.68488e-15,5.84367e-15,3.37248e-15,-999,6.21469e-15,3.88966e-15,-999,7.66512e-15,5.31095e-15,-999,0.00051,0.00018,0.0001984,0.0001145,-999,0.00017,0.0001064,-999,0.0001417,9.818e-05,-999,101_310_0
12,-49.0689,-0.761124,5.32e+20,0.8,-999/-999,45644.2,7.56444e-15,2.3872e-15,4.07639e-15,2.4703e-15,-999,6.74185e-15,3.62137e-15,-999,9.97512e-15,5.35811e-15,-999,0.000507,0.00016,0.0001383,8.381e-05,-999,0.0001844,9.905e-05,-999,0.0001844,9.905e-05,-999,101_310_0
13,-49.23,-0.634637,5.29e+20,0.8,-999/-999,42129.6,2.04226e-14,3.72675e-15,1.18476e-14,4.04429e-15,-999,1.91402e-14,5.71245e-15,-999,2.3974e-14,7.77316e-15,-999,0.00137,0.00025,0.0004028,0.0001375,-999,0.0005237,0.0001563,-999,0.0004432,0.0001437,-999,101_310_0
14,-49.0726,-0.793508,5.33e+20,0.8,-999/-999,46241.9,1.64164e-14,3.28328e-15,2.24583e-14,5.47446e-15,-999,1.08272e-14,4.27457e-15,-999,2.28772e-15,2.3429e-15,-999,0.0011,0.00022,0.0007614,0.0001856,-999,0.0002961,0.0001169,-999,4.229e-05,4.331e-05,-999,101_310_0
15,-49.0947,-0.620873,5.27e+20,0.8,-999/-999,46296.4,9.96676e-15,2.53266e-15,4.36747e-15,2.40402e-15,-999,9.50405e-15,3.90978e-15,-999,1.40691e-14,5.78774e-15,-999,0.000669,0.00017,0.0001487,8.185e-05,-999,0.0002601,0.000107,-999,0.0002601,0.000107,-999,101_310_0
16,-49.0576,-0.651378,5.28e+20,0.8,-999/-999,45083.8,7.71975e-15,2.38448e-15,4.56752e-15,2.5865e-15,-999,1.13579e-14,4.67763e-15,-999,2.80197e-15,2.76951e-15,-999,0.000518,0.00016,0.0001554,8.8e-05,-999,0.0003108,0.000128,-999,5.18e-05,5.12e-05,-999,101_310_0
17,-49.2437,-0.627425,5.29e+20,0.8,-999/-999,43326.5,8.40755e-15,2.68326e-15,5.52964e-15,3.08836e-15,-999,6.87102e-15,3.83754e-15,-999,1.01695e-14,5.67976e-15,-999,0.000564,0.00018,0.000188,0.000105,-999,0.000188,0.000105,-999,0.000188,0.000105,-999,101_310_0
18,-49.2755,-0.791589,5.35e+20,0.8,-999/-999,46291.2,8.40728e-15,2.53861e-15,7.67693e-15,3.27576e-15,-999,1.58402e-15,1.70325e-15,-999,1.40601e-14,5.99947e-15,-999,0.000563,0.00017,0.0002599,0.0001109,-999,4.331e-05,4.657e-05,-999,0.0002599,0.0001109,-999,101_310_0
19,-49.0627,-0.635699,5.28e+20,0.8,-999/-999,45596.3,7.40679e-15,2.23545e-15,6.74252e-15,2.9392e-15,-999,5.58758e-15,2.9692e-15,-999,6.20435e-15,3.71883e-15,-999,0.000497,0.00015,0.0002294,0.0001,-999,0.0001529,8.125e-05,-999,0.0001147,6.875e-05,-999,101_310_0
20,-49.2283,-0.593408,5.28e+20,0.8,-999/-999,43082.3,1.75855e-14,3.42769e-15,9.24672e-15,3.55937e-15,-999,1.43764e-14,4.86766e-15,-999,2.55314e-14,7.85957e-15,-999,0.00118,0.00023,0.0003146,0.0001211,-999,0.0003934,0.0001332,-999,0.000472,0.0001453,-999,101_310_0
21,-49.2876,-0.648607,5.3e+20,0.8,-999/-999,46909.2,7.78354e-15,2.38576e-15,5.58638e-15,2.91534e-15,-999,5.20515e-15,3.06351e-15,-999,1.0267e-14,5.35801e-15,-999,0.000522,0.00016,0.0001898,9.905e-05,-999,0.0001424,8.381e-05,-999,0.0001898,9.905e-05,-999,101_310_0
22,-49.1762,-0.574834,5.27e+20,0.8,-999/-999,43978.5,3.94797e-14,4.91634e-15,3.04577e-14,6.0005e-15,-999,4.34826e-14,8.0388e-15,-999,2.28534e-14,7.22656e-15,-999,0.00265,0.00033,0.001037,0.0002043,-999,0.00119,0.00022,-999,0.0004225,0.0001336,-999,101_310_0
23,-49.2624,-0.830387,5.37e+20,0.8,-999/-999,46012.2,1.40903e-14,3.13782e-15,4.29206e-15,2.44715e-15,-999,1.19407e-14,4.42288e-15,-999,2.55136e-14,7.92024e-15,-999,0.000943,0.00021,0.0001451,8.273e-05,-999,0.0003264,0.0001209,-999,0.0004716,0.0001464,-999,101_310_0
24,-49.2581,-0.603245,5.28e+20,0.8,-999/-999,44955.1,6.52751e-15,2.38448e-15,9.19382e-16,1.27914e-15,-999,3.43039e-15,2.80658e-15,-999,1.69254e-14,7.26996e-15,-999,0.000438,0.00016,3.128e-05,4.352e-05,-999,9.387e-05,7.68e-05,-999,0.0003129,0.0001344,-999,101_310_0
25,-49.1369,-0.572123,5.26e+20,0.8,-999/-999,41125.3,3.30647e-14,4.4682e-15,2.69081e-14,5.57063e-15,-999,2.99733e-14,6.71148e-15,-999,2.61038e-14,7.61587e-15,-999,0.00222,0.0003,0.0009168,0.0001898,-999,0.0008204,0.0001837,-999,0.0004826,0.0001408,-999,101_310_0
26,-49.1785,-0.872621,5.37e+20,0.8,-999/-999,44469.7,8.45717e-15,2.68956e-15,1.52189e-14,4.85999e-15,-999,7.65316e-15,-6.57762e-12,1.24492e-14,2.78344e-15,2.8792e-15,-999,0.000566,0.00018,0.0005145,0.0001643,-999,0.0002092,-0.1798,0.0003403,5.145e-05,5.322e-05,-999,101_310_0
27,-49.0887,-0.862422,5.36e+20,0.8,-999/-999,41902.7,2.50958e-14,4.18264e-15,2.10105e-14,5.36791e-15,-999,1.41817e-14,4.98206e-15,-999,3.14586e-14,9.00748e-15,-999,0.00168,0.00028,0.0007108,0.0001816,-999,0.0003877,0.0001362,-999,0.0005815,0.0001665,-999,101_310_0
28,-49.1614,-0.886592,5.38e+20,0.8,-999/-999,45207.3,1.05668e-14,2.83974e-15,1.52208e-14,4.64736e-15,-999,5.971e-15,-6.94421e-12,1.55568e-14,1.04305e-14,5.36293e-15,-999,0.000707,0.00019,0.0005142,0.000157,-999,0.0001632,-0.1898,0.0004252,0.0001928,9.913e-05,-999,101_310_0
29,-49.1527,-0.885327,5.38e+20,0.8,-999/-999,45631.4,8.026e-15,2.69028e-15,1.39095e-14,5.04697e-15,-999,4.53313e-15,-6.57834e-12,1.623e-14,3.63173e-15,3.43373e-15,-999,0.000537,0.00018,0.0004699,0.0001705,-999,0.0001239,-0.1798,0.0004436,6.713e-05,6.347e-05,-999,101_310_0
30,-49.3326,-0.691552,5.33e+20,0.8,-999/-999,46682.6,1.73118e-14,3.43252e-15,1.14032e-14,3.87577e-15,-999,1.72774e-14,5.28744e-15,-999,1.62667e-14,6.39956e-15,-999,0.00116,0.00023,0.0003866,0.0001314,-999,0.0004725,0.0001446,-999,0.0003007,0.0001183,-999,101_310_0
31,-49.2772,-0.591783,5.28e+20,0.8,-999/-999,46664.6,1.65423e-14,3.27866e-15,1.32881e-14,4.06491e-15,-999,1.80235e-14,5.28426e-15,-999,8.89272e-15,4.41986e-15,-999,0.00111,0.00022,0.0004521,0.0001383,-999,0.0004932,0.0001446,-999,0.0001644,8.171e-05,-999,101_310_0
32,-49.3357,-0.760765,5.37e+20,0.8,-999/-999,46693.9,8.27787e-15,2.68956e-15,7.56361e-15,3.77145e-15,-999,1.55917e-15,1.8383e-15,-999,1.38334e-14,6.89775e-15,-999,0.000554,0.00018,0.0002557,0.0001275,-999,4.262e-05,5.025e-05,-999,0.0002557,0.0001275,-999,101_310_0
33,-49.2573,-0.562379,5.27e+20,0.8,-999/-999,40337.2,2.48797e-14,4.32042e-15,1.11463e-14,4.14425e-15,-999,1.66403e-14,5.44081e-15,-999,4.51606e-14,1.10237e-14,-999,0.00167,0.00029,0.0003795,0.0001411,-999,0.0004554,0.0001489,-999,0.0008349,0.0002038,-999,101_310_0
34,-49.2255,-0.896214,5.39e+20,0.8,-999/-999,42965.9,1.70441e-14,3.73775e-15,6.75678e-15,3.26731e-15,-999,1.25181e-14,4.84478e-15,-999,3.08484e-14,9.54883e-15,-999,0.00114,0.00025,0.0002281,0.0001103,-999,0.0003421,0.0001324,-999,0.0005702,0.0001765,-999,101_310_0
35,-49.2986,-0.850415,5.41e+20,0.8,-999/-999,42726.8,8.18257e-15,2.84221e-15,6.49026e-15,3.521e-15,-999,6.00606e-15,3.76614e-15,-999,8.8783e-15,5.5672e-15,-999,0.000547,0.00019,0.0002188,0.0001187,-999,0.0001641,0.0001029,-999,0.0001641,0.0001029,-999,101_310_0
36,-49.32,-0.857435,5.42e+20,0.8,-999/-999,40958.2,1.1657e-14,3.44172e-15,2.05473e-14,6.44736e-15,-999,1.58426e-15,1.96459e-15,-999,2.34162e-15,2.90376e-15,-999,0.000779,0.00023,0.0006922,0.0002172,-999,4.328e-05,5.367e-05,-999,4.328e-05,5.367e-05,-999,101_310_0
37,-49.3223,-0.866563,5.43e+20,0.8,-999/-999,39296.1,1.07321e-14,3.59232e-15,1.4199e-14,5.83406e-15,-999,4.37478e-15,3.55437e-15,-999,6.46555e-15,5.25305e-15,-999,0.000717,0.00024,0.000478,0.0001964,-999,0.0001195,9.709e-05,-999,0.0001195,9.709e-05,-999,101_310_0
38,-49.3852,-0.742233,5.39e+20,0.575,+0.25/-0.19,38587,5.97466e-14,7.88445e-15,1.87851e-14,5.6008e-15,-999,5.61725e-14,1.11675e-14,-999,7.0404e-14,1.57407e-14,-999,0.00341,0.00045,0.0006708,0.0002,-999,0.001509,0.0003,-999,0.00123,0.000275,-999,101_310_0
39,24.6936,-0.672514,2.65e+20,0.8,-999/-999,17176,9.6304e-15,3.69873e-15,4.24909e-15,3.26295e-15,-999,9.34052e-15,5.90822e-15,-999,1.4205e-14,8.98518e-15,-999,0.000703,0.00027,0.0001758,0.000135,-999,0.0002637,0.0001668,-999,0.0002637,0.0001668,-999,103_24_0
40,24.6576,-0.668684,2.65e+20,0.8,-999/-999,17138,1.4247e-14,4.38368e-15,4.56813e-15,3.28712e-15,-999,1.674e-14,7.65094e-15,-999,2.03621e-14,1.03427e-14,-999,0.00104,0.00032,0.000189,0.000136,-999,0.0004726,0.000216,-999,0.000378,0.000192,-999,103_24_0
41,24.8197,-0.621067,2.67e+20,0.8,-999/-999,15367,1.17203e-14,4.24948e-15,8.87187e-15,5.00359e-15,-999,1.73106e-14,8.46753e-15,-999,1.67428e-14,-1.66835e-11,4.35754e-14,0.000855,0.00031,0.0003665,0.0002067,-999,0.0004886,0.000239,-999,0.0003108,-0.3097,0.0008089,103_24_0
42,24.6961,-0.495326,2.62e+20,0.8,-999/-999,15398.6,1.81997e-14,5.33676e-15,1.06917e-14,5.39408e-15,-999,1.56999e-14,7.92077e-15,-999,2.38837e-14,1.20496e-14,-999,0.00133,0.00039,0.0004434,0.0002237,-999,0.0004434,0.0002237,-999,0.0004434,0.0002237,-999,103_24_0
43,24.8633,-0.585641,2.67e+20,0.8,-999/-999,16277.1,1.30774e-14,4.52364e-15,7.70025e-15,-7.98105e-12,1.69957e-14,1.50254e-14,7.72352e-15,-999,2.85565e-14,1.33328e-14,-999,0.000954,0.00033,0.0003181,-0.3297,0.0007021,0.0004241,0.000218,-999,0.0005301,0.0002475,-999,103_24_0
44,24.5806,-0.672492,2.63e+20,0.8,-999/-999,13686.3,2.31344e-14,6.29694e-15,1.48315e-14,6.72318e-15,-999,3.26402e-14,1.21608e-14,-999,8.2792e-15,7.33116e-15,-999,0.00169,0.00046,0.0006146,0.0002786,-999,0.0009217,0.0003434,-999,0.0001537,0.0001361,-999,103_24_0
45,24.5753,-0.662417,2.63e+20,0.8,-999/-999,13325.9,1.40997e-14,5.20182e-15,7.10446e-15,4.97361e-15,-999,1.56348e-14,8.89575e-15,-999,1.58582e-14,1.11018e-14,-999,0.00103,0.00038,0.0002944,0.0002061,-999,0.0004415,0.0002512,-999,0.0002944,0.0002061,-999,103_24_0
46,24.8636,-0.518196,2.66e+20,0.8,-999/-999,17319.7,9.87986e-15,3.97387e-15,4.98273e-15,3.79993e-15,-999,7.29755e-15,5.56527e-15,-999,1.66455e-14,1.04129e-14,-999,0.000721,0.00029,0.000206,0.0001571,-999,0.000206,0.0001571,-999,0.000309,0.0001933,-999,103_24_0
47,24.8106,-0.786406,2.69e+20,0.8,-999/-999,7121,2.97681e-14,1.02885e-14,6.57524e-15,6.15338e-15,-999,1.92216e-14,1.28817e-14,-999,7.30491e-14,3.07711e-14,-999,0.00217,0.00075,0.0002712,0.0002538,-999,0.0005424,0.0003635,-999,0.001356,0.0005712,-999,103_24_0
48,24.8993,-0.568416,2.67e+20,0.8,-999/-999,16398.1,4.19465e-14,7.95064e-15,2.72813e-14,8.58864e-15,-999,3.99285e-14,1.25702e-14,-999,4.33869e-14,1.61718e-14,-999,0.00306,0.00058,0.001127,0.0003548,-999,0.001127,0.0003548,-999,0.0008054,0.0003002,-999,103_24_0
49,24.7283,-0.438786,2.63e+20,0.757,+0.17/-0.14,14973.5,1.61709e-13,1.56035e-14,1.04409e-13,1.57905e-14,-999,1.35088e-13,2.17825e-14,-999,1.76413e-13,3.08205e-14,-999,0.0114,0.0011,0.004364,0.00066,-999,0.003801,0.0006129,-999,0.003238,0.0005657,-999,103_24_0
50,24.9325,-0.595752,2.68e+20,0.8,-999/-999,7297.5,3.41454e-14,1.15189e-14,2.01076e-14,1.20258e-14,-999,4.41153e-14,2.13773e-14,-999,2.23561e-14,1.89245e-14,-999,0.00249,0.00084,0.00083,0.0004964,-999,0.001245,0.0006033,-999,0.000415,0.0003513,-999,103_24_0
51,31.174,0.832301,2.21e+20,0.8,-999/-999,8066.5,2.91298e-14,8.0916e-15,1.37537e-14,7.25625e-15,-999,5.53558e-14,1.80866e-14,-999,0,-3.22657e-11,7.00328e-14,0.00216,0.0006,0.0005891,0.0003108,-999,0.001571,0.0005133,-999,0,-0.5994,0.001301,106_31_0
52,31.2673,0.869999,2.26e+20,0.8,-999/-999,8128.8,1.55365e-14,6.3497e-15,5.39331e-15,4.97141e-15,-999,1.62217e-14,1.05066e-14,-999,2.47695e-14,1.60428e-14,-999,0.00115,0.00047,0.0002301,0.0002121,-999,0.0004601,0.000298,-999,0.0004601,0.000298,-999,106_31_0
53,31.1902,0.667596,2.21e+20,0.8,-999/-999,8368.2,2.67023e-14,8.0916e-15,1.73351e-14,8.57535e-15,-999,8.72091e-15,7.55107e-15,-999,5.32917e-14,2.27378e-14,-999,0.00198,0.0006,0.0007425,0.0003673,-999,0.0002475,0.0002143,-999,0.00099,0.0004224,-999,106_31_0
54,31.3066,0.872758,2.26e+20,0.8,-999/-999,8170.4,2.05352e-14,7.2954e-15,8.90448e-15,6.4176e-15,-999,6.69883e-15,-1.90212e-11,8.86361e-14,6.13719e-14,2.53832e-14,-999,0.00152,0.00054,0.0003799,0.0002738,-999,0.00019,-0.5395,0.002514,0.00114,0.0004715,-999,106_31_0
55,31.0731,0.80852,2.21e+20,0.8,-999/-999,4042.5,6.27099e-14,1.75318e-14,4.82582e-14,1.9315e-14,-999,1.82064e-14,1.49929e-14,-999,1.11267e-13,4.45336e-14,-999,0.00465,0.0013,0.002067,0.0008273,-999,0.0005167,0.0004255,-999,0.002067,0.0008273,-999,106_31_0
56,-51.0418,-0.430942,7.96e+20,0.8,-999/-999,5364.8,3.67087e-14,1.26637e-14,8.97698e-15,9.05811e-15,-999,1.91962e-14,1.36588e-14,-999,8.29482e-14,3.43309e-14,-999,0.00229,0.00079,0.0002545,0.0002568,-999,0.0005089,0.0003621,-999,0.001527,0.000632,-999,107_308_0
57,-51.0173,-0.393818,7.86e+20,0.8,-999/-999,4599.9,3.00593e-13,3.67747e-14,1.46397e-14,1.20888e-14,-999,9.44939e-14,3.24964e-14,-999,8.61931e-13,1.17097e-13,-999,0.0188,0.0023,0.0004178,0.000345,-999,0.002508,0.0008625,-999,0.01587,0.002156,-999,107_308_0
58,-51.0272,-0.540404,8.09e+20,0.8,-999/-999,5518.6,2.36405e-14,1.02925e-14,1.74343e-14,1.32189e-14,-999,9.25585e-15,9.87921e-15,-999,3.9934e-14,2.46776e-14,-999,0.00147,0.00064,0.0004901,0.0003716,-999,0.000245,0.0002615,-999,0.000735,0.0004542,-999,107_308_0
59,-50.8294,-0.389469,7.39e+20,0.8,-999/-999,5518.6,3.01723e-14,1.26376e-14,6.48865e-14,2.71776e-14,-999,1.19301e-14,-2.99452e-11,1.1829e-13,5.18298e-14,-4.33742e-11,1.71337e-13,0.00191,0.0008,0.00191,0.0008,-999,0.0003184,-0.7992,0.003157,0.000955,-0.7992,0.003157,107_308_0
60,-10.2636,0.24409,3.82e+20,0.943,+0.01/-0.01,20968.4,2.09542e-11,1.14869e-13,1.85157e-11,1.6106e-13,-999,2.03027e-11,1.93764e-13,-999,2.11447e-11,2.36036e-13,-999,1.66,0.0091,0.68,0.005915,-999,0.5721,0.00546,-999,0.4076,0.00455,-999,108_349_0
61,-10.2063,0.316299,3.87e+20,0.8,-999/-999,21470,1.89791e-14,4.7091e-15,1.03774e-14,4.70058e-15,-999,8.43488e-15,5.05302e-15,-999,3.80017e-14,1.28615e-14,-999,0.00133,0.00033,0.0003912,0.0001772,-999,0.0002347,0.0001406,-999,0.0007041,0.0002383,-999,108_349_0
62,-10.3617,0.279279,3.81e+20,0.8,-999/-999,21356.2,1.15511e-14,3.84561e-15,4.76154e-15,3.38827e-15,-999,9.71088e-15,5.5737e-15,-999,1.94605e-14,9.83279e-15,-999,0.000811,0.00027,0.0001803,0.0001283,-999,0.0002704,0.0001552,-999,0.0003606,0.0001822,-999,108_349_0
63,-10.3583,0.232398,3.79e+20,0.8,-999/-999,22111.4,9.69335e-15,3.5585e-15,7.9819e-15,4.39571e-15,-999,1.08681e-14,5.9852e-15,-999,4.08191e-15,4.4969e-15,-999,0.000681,0.00025,0.0003027,0.0001667,-999,0.0003027,0.0001667,-999,7.564e-05,8.333e-05,-999,108_349_0
64,-10.3358,0.343861,3.84e+20,0.8,-999/-999,21857.7,1.33446e-14,3.99196e-15,5.50534e-15,3.52024e-15,-999,1.12089e-14,5.78409e-15,-999,2.24511e-14,9.82236e-15,-999,0.000936,0.00028,0.000208,0.000133,-999,0.000312,0.000161,-999,0.000416,0.000182,-999,108_349_0
65,-10.1802,0.300928,3.87e+20,0.8,-999/-999,21131,2.83973e-14,5.5653e-15,1.94522e-14,6.20732e-15,-999,1.50584e-14,6.30729e-15,-999,4.52393e-14,1.36819e-14,-999,0.00199,0.00039,0.0007333,0.000234,-999,0.000419,0.0001755,-999,0.0008382,0.0002535,-999,108_349_0
66,-10.2644,0.374738,3.88e+20,0.8,-999/-999,22151,1.31758e-14,3.997e-15,3.50155e-15,2.883e-15,-999,7.10593e-15,4.72291e-15,-999,3.20276e-14,1.20306e-14,-999,0.000923,0.00028,0.0001319,0.0001086,-999,0.0001977,0.0001314,-999,0.0005934,0.0002229,-999,108_349_0
67,-10.196,0.347703,3.88e+20,0.8,-999/-999,21016.8,1.81293e-14,4.71075e-15,1.20417e-14,5.22179e-15,-999,1.95638e-14,7.7565e-15,-999,1.46915e-14,8.22009e-15,-999,0.00127,0.00033,0.0004536,0.0001967,-999,0.0005443,0.0002158,-999,0.0002722,0.0001523,-999,108_349_0
68,-10.1615,0.248622,3.86e+20,0.8,-999/-999,21376.3,9.60102e-15,3.70916e-15,1.18884e-14,5.54792e-15,-999,1.03634e-14,-9.33206e-12,1.77586e-14,1.21003e-14,8.21439e-15,-999,0.000673,0.00026,0.0004485,0.0002093,-999,0.0002884,-0.2597,0.0004942,0.0002242,0.0001522,-999,108_349_0
69,-10.3789,0.213772,3.78e+20,0.8,-999/-999,21980.9,9.54766e-15,3.55725e-15,7.57826e-15,4.32931e-15,-999,3.44173e-15,3.33367e-15,-999,1.552e-14,8.86629e-15,-999,0.000671,0.00025,0.0002876,0.0001643,-999,9.587e-05,9.286e-05,-999,0.0002876,0.0001643,-999,108_349_0
70,-10.2311,0.393133,3.9e+20,0.8,-999/-999,21170.9,1.74265e-14,4.71372e-15,9.98076e-15,4.81756e-15,-999,2.36198e-14,8.60667e-15,-999,1.01309e-14,6.98424e-15,-999,0.00122,0.00033,0.0003754,0.0001812,-999,0.000657,0.0002394,-999,0.0001877,0.0001294,-999,108_349_0
71,-10.4094,0.232644,3.78e+20,0.8,-999/-999,20792.1,1.93514e-14,4.83786e-15,1.0237e-14,4.82469e-15,-999,1.39472e-14,6.57329e-15,-999,3.14448e-14,1.19962e-14,-999,0.00136,0.00034,0.0003885,0.0001831,-999,0.0003885,0.0001831,-999,0.0005827,0.0002223,-999,108_349_0
72,-10.2936,0.110065,3.76e+20,0.8,-999/-999,21173.6,1.27411e-14,4.1238e-15,1.17895e-14,5.53036e-15,-999,1.20597e-14,6.50363e-15,-999,6.04374e-15,5.47714e-15,-999,0.000896,0.00029,0.0004481,0.0002102,-999,0.000336,0.0001812,-999,0.000112,0.0001015,-999,108_349_0
73,-10.4343,0.261973,3.79e+20,0.926,+0.17/-0.14,13482.3,1.8432e-13,1.664e-14,1.44245e-13,2.15068e-14,-999,1.94387e-13,2.82203e-14,-999,1.8765e-13,3.3506e-14,-999,0.0144,0.0013,0.005328,0.0007944,-999,0.005472,0.0007944,-999,0.0036,0.0006428,-999,108_349_0
74,-10.3206,0.111375,3.76e+20,0.8,-999/-999,20961.3,9.28566e-15,3.6972e-15,6.3565e-15,-6.83271e-12,1.13475e-14,7.03124e-15,5.16127e-15,-999,2.4666e-14,1.16396e-14,-999,0.000653,0.00026,0.0002416,-0.2597,0.0004313,0.0001959,0.0001438,-999,0.0004571,0.0002157,-999,108_349_0
75,-10.2577,0.105524,3.77e+20,0.8,-999/-999,17894.4,7.8801e-14,9.9568e-15,7.29341e-14,1.29017e-14,-999,7.3515e-14,1.50763e-14,-999,3.89991e-14,1.35339e-14,-999,0.00554,0.0007,0.00277,0.00049,-999,0.002048,0.00042,-999,0.0007227,0.0002508,-999,108_349_0
76,-10.188,0.121022,3.8e+20,0.8,-999/-999,16305.1,6.43558e-14,1.02514e-14,1.64509e-14,7.22003e-15,-999,6.71498e-14,1.7064e-14,-999,1.09335e-13,2.68103e-14,-999,0.00452,0.00072,0.0006234,0.0002736,-999,0.00187,0.0004752,-999,0.002026,0.0004968,-999,108_349_0
77,-10.0826,0.169089,3.86e+20,0.871,+0.28/-0.21,12323.3,1.02789e-13,1.47994e-14,7.25548e-14,1.72398e-14,-999,1.04386e-13,2.3117e-14,-999,1.07045e-13,2.94611e-14,-999,0.00764,0.0011,0.002696,0.0006406,-999,0.002922,0.0006471,-999,0.002022,0.0005565,-999,108_349_0
78,-4.41595,0.261307,3.38e+20,0.8,-999/-999,9190.5,3.00542e-14,8.4264e-15,2.73578e-14,1.08741e-14,-999,3.18604e-14,1.38382e-14,-999,9.61572e-15,9.42157e-15,-999,0.00214,0.0006,0.00107,0.0004253,-999,0.0008917,0.0003873,-999,0.0001783,0.0001747,-999,109_355_0
79,-4.39677,0.189119,3.36e+20,0.8,-999/-999,9615.9,2.27351e-14,7.15734e-15,2.63204e-14,1.03086e-14,-999,2.10438e-14,1.08809e-14,-999,7.28028e-15,-2.74763e-11,5.24935e-14,0.00162,0.00051,0.001031,0.0004038,-999,0.0005891,0.0003046,-999,0.000135,-0.5095,0.0009734,109_355_0
80,-4.3811,0.148695,3.35e+20,0.8,-999/-999,9750.5,1.92211e-14,6.5941e-15,1.04842e-14,6.515e-15,-999,1.46797e-14,9.12212e-15,-999,2.95466e-14,1.59786e-14,-999,0.00137,0.00047,0.000411,0.0002554,-999,0.000411,0.0002554,-999,0.0005479,0.0002963,-999,109_355_0
